Date,Year,Month,Day,Waktu,Dari,Arah,Kondisi,Tweet,Hambatan,link,photos
2022-Oct-03,2022,October,Monday,08:10:58,MM UGM,-,lancar,08.10WIB Arus lalu lintas simpang MMUGM terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576741566886313984,"['https://pbs.twimg.com/media/FeG2CS5aMAAOo2g.jpg', 'https://pbs.twimg.com/media/FeG2CTuaAAACvHx.jpg', 'https://pbs.twimg.com/media/FeG2CUiaEAA2moJ.jpg', 'https://pbs.twimg.com/media/FeG2CVcaAAANAJT.jpg']"
2022-Oct-03,2022,October,Monday,08:10:35,Demangan,-,padat,08.10WIB Arus lalu lintas simpang Demangan terpantau padat  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576741470438322176,"['https://pbs.twimg.com/media/FeG19EQagAEnjNm.jpg', 'https://pbs.twimg.com/media/FeG19E-aAAALPCP.jpg', 'https://pbs.twimg.com/media/FeG19F9acAE5gZf.jpg']"
2022-Oct-03,2022,October,Monday,08:10:11,UIN,-,padat,08.09WIB Arus lalu lintas simpang UIN padat  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576741368919388161,"['https://pbs.twimg.com/media/FeG10TNacAAYXpi.jpg', 'https://pbs.twimg.com/media/FeG10UEaAAE8tKe.jpg', 'https://pbs.twimg.com/media/FeG10U-agAEZ63f.jpg']"
2022-Oct-03,2022,October,Monday,08:05:19,Kentungan,-,lancar,08.04WIB Arus lalu lintas simpang Kentungan lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576740143805128706,"['https://pbs.twimg.com/media/FeG0tiLaAAAvTZQ.jpg', 'https://pbs.twimg.com/media/FeG0tiqaUAAmxHq.jpg', 'https://pbs.twimg.com/media/FeG0tjrakAAg0Yk.jpg', 'https://pbs.twimg.com/media/FeG0tkpaEAAWtDz.jpg']"
2022-Oct-03,2022,October,Monday,08:04:45,Condongcatur,-,padat,08.04WIB Arus lalu lintas simpang Condongcatur padat  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576740000678686722,"['https://pbs.twimg.com/media/FeG0lv4aEAA4n51.jpg', 'https://pbs.twimg.com/media/FeG0mtvagAUXx5R.jpg', 'https://pbs.twimg.com/media/FeG0mudacAANCX7.jpg']"
2022-Oct-03,2022,October,Monday,08:03:32,Bandara Timur,-,padat,08.03WIB Kondisi Lalin simpang Bandara dari kaki timur padat  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576739696616828928,"['https://pbs.twimg.com/media/FeG0SLKaMAIyJQe.jpg', 'https://pbs.twimg.com/media/FeG0SL-acAEtZRv.jpg', 'https://pbs.twimg.com/media/FeG0SM0aUAA6dND.jpg']"
2022-Oct-03,2022,October,Monday,08:02:54,Maguwoharjo,,padat,08.02WIB Arus lalu lintas simpang Maguwo padat dari semua arah  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576739534955778048,"['https://pbs.twimg.com/media/FeG0LQJacAI_uGn.jpg', 'https://pbs.twimg.com/media/FeG0LQIacAgMm5z.jpg', 'https://pbs.twimg.com/media/FeG0LQUaMAEmlXX.jpg']"
2022-Oct-02,2022,October,Sunday,16:19:06,,-,ramai lancar,"16.17WIB Arus lalu lintas simpang Kronggahan ramai lancar, harap berhati-hati adanya genangan air akibat hujan deras  ",genangan,https://twitter.com/ATCS_DISHUB_DIY/status/1576502019921424384,"['https://pbs.twimg.com/media/FeDb-NcagAAs4sY.jpg', 'https://pbs.twimg.com/media/FeDb-34aAAAsExx.jpg', 'https://pbs.twimg.com/media/FeDb-4qaUAIvrAx.jpg']"
2022-Oct-01,2022,October,Saturday,08:22:27,Maguwoharjo,Barat,lancar,08.22 wib kondisi lalin sp maguwo arah barat terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576019679348658176,['https://pbs.twimg.com/media/Fd8lfA5akAA-XRO.jpg']
2022-Oct-01,2022,October,Saturday,08:22:01,Bandara,Timur,lancar,08.21 wib lalin sp bandara arah timur terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576019570686824448,['https://pbs.twimg.com/media/Fd8lYzPaAAAXHSg.jpg']
2022-Oct-01,2022,October,Saturday,07:32:39,MM UGM,,lancar,07.33 wib lalin sp mm ugm terpantau lancar dari semua arah  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576007146860212224,"['https://pbs.twimg.com/media/Fd8aEzDaEAEZJoG.jpg', 'https://pbs.twimg.com/media/Fd8aEzxaMAArE0c.jpg', 'https://pbs.twimg.com/media/Fd8aE1CagAAiYee.jpg']"
2022-Oct-01,2022,October,Saturday,07:32:00,Gramedia,"Timur, Barat",lancar,07.32 wib lalin sp gramedia arah timur dan barat terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576006983651819521,"['https://pbs.twimg.com/media/Fd8Z6ipakAAxjxa.jpg', 'https://pbs.twimg.com/media/Fd8Z7JxaUAADtir.jpg']"
2022-Oct-01,2022,October,Saturday,07:31:25,Seturan,"Timur, Barat",ramai lancar,07.31 wib lalin sp seturan arah timur dan barat ramai lancar arah selatan terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1576006837442588673,"['https://pbs.twimg.com/media/Fd8ZrB9agAI5DvW.jpg', 'https://pbs.twimg.com/media/Fd8ZrOsaEAEPl1a.jpg', 'https://pbs.twimg.com/media/Fd8ZxHDacAAVneN.jpg']"
2022-Sep-30,2022,September,Friday,14:45:14,Gramedia,Barat,padat padat merayap,"14.43 WIB. Kondisi lalin di Simpang Gramedia arus kendaraan dari arah Barat terpantau RAMAI cenderung padat merayap,dari arah lain  terpantau RAMAI LANCAR. Jaga jarak aman kendaraan  ",-,https://twitter.com/ATCS_DISHUB_DIY/status/1575753621803003904,"['https://pbs.twimg.com/media/Fd4zKNMaAAE7uo4.jpg', 'https://pbs.twimg.com/media/Fd4zKNKaYAAsJey.jpg']"
2022-Sep-30,2022,September,Friday,11:27:08,Pogung,-,lancar,11.26WIB Kondisi Lalin simpang Pogung terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1575703771685933057,"['https://pbs.twimg.com/media/Fd4GHtQagAECpuQ.jpg', 'https://pbs.twimg.com/media/Fd4GHuFaUAEFflP.jpg', 'https://pbs.twimg.com/media/Fd4GHusaAAAc6_S.jpg', 'https://pbs.twimg.com/media/Fd4GHvdaEAAd0Ax.jpg']"
2022-Sep-30,2022,September,Friday,11:26:32,Gramedia,-,ramai lancar,11.26WIB Kondisi Lalin simpang Gramedia terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1575703618900348928,"['https://pbs.twimg.com/media/Fd4GDMeakAAvqP1.jpg', 'https://pbs.twimg.com/media/Fd4GDMdaMAELs11.jpg', 'https://pbs.twimg.com/media/Fd4GDMjaUAA-Kcj.jpg', 'https://pbs.twimg.com/media/Fd4GDMoagAAtlra.jpg']"
2022-Sep-30,2022,September,Friday,09:08:25,Seturan,"Timur, Barat",ramai lancar,09.07 wib lalin sp seturan arah timur dan barat ramai lancar arah selatan terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1575668859033382914,"['https://pbs.twimg.com/media/Fd3mWz0aUAAaXIi.jpg', 'https://pbs.twimg.com/media/Fd3mXgsaEAIvTxv.jpg', 'https://pbs.twimg.com/media/Fd3mYJJagAIWIDu.jpg']"
2022-Sep-30,2022,September,Friday,09:02:59,Demangan,Timur,ramai lancar,09.02 wib lalin sp demangan arah timur ramai lancar arah selatan dan utara terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1575667494911557633,"['https://pbs.twimg.com/media/Fd3lIDAaEAEjK-V.jpg', 'https://pbs.twimg.com/media/Fd3lI6oaEAESyze.jpg', 'https://pbs.twimg.com/media/Fd3lJg2acAAHzn6.jpg']"
