date,Date,Time,tweet,link,photos
2022-11-26 19:02:37,2022-Nov-26,19:02:37,19.02 wib lalin sp gramedia arah timur dan barat terpantau ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596474504053940225,"['https://pbs.twimg.com/media/FifQ-QPagAA8MfF.jpg', 'https://pbs.twimg.com/media/FifQ-QuacAAdRQr.jpg']"
2022-11-26 19:00:55,2022-Nov-26,19:00:55,19.01 wib lalin sp blok o arah selatan ramai lancar arah utara terpantau ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596474074225868800,"['https://pbs.twimg.com/media/FifQob7aEAElQj5.jpg', 'https://pbs.twimg.com/media/FifQocSaYAEOn1R.jpg']"
2022-11-26 19:00:29,2022-Nov-26,19:00:29,19.00 wib lalin sp bandara arah timur terpantau ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596473967354998789,['https://pbs.twimg.com/media/FifQiJnakAArORN.jpg']
2022-11-26 18:59:25,2022-Nov-26,18:59:25,18.59 wib arus lalin sp tugu terpantau ramai lancar dari semua arah  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596473699569651712,"['https://pbs.twimg.com/media/FifQQ71aEAMKjJu.jpg', 'https://pbs.twimg.com/media/FifQRwYaMAMZifc.jpg', 'https://pbs.twimg.com/media/FifQRxBaUAInI1Z.jpg']"
2022-11-26 18:23:13,2022-Nov-26,18:23:13,18.23 WIB. Arus lalu lintas simpang Tugu terpantau Ramai Lancar.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596464587184173057,"['https://pbs.twimg.com/media/FifICGyaYAAJsdA.jpg', 'https://pbs.twimg.com/media/FifICGxaUAE4yMR.jpg', 'https://pbs.twimg.com/media/FifICGwagAEEZ6F.jpg']"
2022-11-26 17:52:24,2022-Nov-26,17:52:24,"17.51 WIB, Kondisi lalu lintas simpang Jati Kencana terpantau Ramai Lancar.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1596456835602853889,"['https://pbs.twimg.com/media/FifBB0JaAAEMT_J.jpg', 'https://pbs.twimg.com/media/FifBB0IakAUjEfv.jpg', 'https://pbs.twimg.com/media/FifBB0LacAAsDk_.jpg']"
2022-11-26 16:56:45,2022-Nov-26,16:56:45,"16.56 WIB. Kondisi lalu lintas simpang Wojo dari arah Selatan dan Timur terpantau Ramai Lancar, dari arah Barat dan Utara terpantau Lancar.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1596442830637260800,"['https://pbs.twimg.com/media/Fie0QDNaMAAMbs0.jpg', 'https://pbs.twimg.com/media/Fie0QDPacAAE14A.jpg', 'https://pbs.twimg.com/media/Fie0QDOaYAAXG1U.jpg', 'https://pbs.twimg.com/media/Fie0QDPaYAEgOlr.jpg']"
2022-11-26 16:30:29,2022-Nov-26,16:30:29,16.16 wib lalin sp blok o arah timur dan selatan ramai lancar arah utara terpantau ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596436220196028416,"['https://pbs.twimg.com/media/FierIJmaEAAcr4Q.jpg', 'https://pbs.twimg.com/media/FierIKAaYAALPo7.jpg', 'https://pbs.twimg.com/media/FierIKjakAAXiaL.jpg']"
2022-11-26 16:15:35,2022-Nov-26,16:15:35,16.15 wib lalin sp demangan arah timur padat arah selatan dan utara terpantau ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596432470597324801,"['https://pbs.twimg.com/media/FieqvyMaEAAcoVp.jpg', 'https://pbs.twimg.com/media/FieqwsOaAAAJ4GV.jpg', 'https://pbs.twimg.com/media/FieqwsuaEAAcdMj.jpg']"
2022-11-26 16:14:42,2022-Nov-26,16:14:42,16.14 wib arus lalin sp maguwo arah timur dan utara lancar arah barat terpantau padat  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596432248425054209,"['https://pbs.twimg.com/media/FieqkCxaYAALes_.jpg', 'https://pbs.twimg.com/media/FieqkCvakAAg0yh.jpg', 'https://pbs.twimg.com/media/FieqlWAagAISyJO.jpg']"
2022-11-26 14:49:05,2022-Nov-26,14:49:05,14.48 WIB. Kondisi lalu lintas simpang Pelem Gurih arus kendaraan dari semua arah terpantau Ramai.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596410701245186049,"['https://pbs.twimg.com/media/FieWldwagAArSC5.jpg', 'https://pbs.twimg.com/media/FieWlduaAAEbsRS.jpg', 'https://pbs.twimg.com/media/FieWlduacAUe2tl.jpg', 'https://pbs.twimg.com/media/FieWldsaYAA1xk3.jpg']"
2022-11-26 12:19:52,2022-Nov-26,12:19:52,12.19WIB Arus lalu lintas simpang Seturan terpantau ramai dari semua arah  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596373150656532480,"['https://pbs.twimg.com/media/Fid03IiaEAEbQEl.jpg', 'https://pbs.twimg.com/media/Fid03IkaEAAydas.jpg', 'https://pbs.twimg.com/media/Fid03IjaMAAMOdN.jpg', 'https://pbs.twimg.com/media/Fid03IhaYAAka8r.jpg']"
