location,title,desc,link,date
bantulan,"Bakmi Pak Pele, Kuliner Mie Lethek Legendaris Sejak 1983","Salah satu warung mie lethek legendaris ada di Jalan Godean Kilometer 7, 
Bantulan, Sidoarum, Gamping, Sleman. Warung Bakmi Pak Pele namanya.",https://radarjogja.jawapos.com/kuliner/2022/10/27/bakmi-pak-pele-kuliner-mie-lethek-legendaris-sejak-1983/,bulan lalu
bantulan,3 Kuliner Jogja Nasi Uduk yang Cocok untuk Sarapan,"Bagi kamu yang ingin sarapan pagi nasi uduk di Jogja, inilah beberapa 
rekomendasi yang bisa dijadikan pilihanmu.",https://jogja.tribunnews.com/2022/08/12/3-kuliner-jogja-nasi-uduk-yang-cocok-untuk-sarapan,2 Agu 2022
bantulan,5 Rekomendasi Gerai Jajanan Onde-Onde di Jogja,"Onde-onde atau jian dui adalah sejenis kue jajanan pasar yang populer di 
Indonesia. Onde-onde memiliki bentuk unik dari luar, yakni adanya wijen.",https://jogja.tribunnews.com/2021/12/22/5-rekomendasi-gerai-jajanan-onde-onde-di-jogja,2 Des 2021
bantulan,5 Rekomendasi Gerai Sate Kelinci yang Laris Manis di Jogja,"TRIBUNJOGJA.COM- Sate kelinci menjadi salah satu kuliner favorit di wilayah 
Daerah Istimewa Yogyakarta. Cukup banyak gerai atau rumah makan di Jogja 
yang...",https://jogja.tribunnews.com/2021/11/24/5-rekomendasi-geraisate-kelinci-yang-laris-manis-di-jogja,4 Nov 2021
bantulan,"Warung Soto Lenthok Legendaris di Yogyakarta Sejak 1987, Eksis Sampai Sekarang - Kompas.com","KOMPAS.com - Soto lenthok merupakan soto khas Yogyakarta yang disajikan 
dengan lenthok atau perkedel singkong. Sajian ini cocok disantap untuk 
sarapan dalam...",https://www.kompas.com/food/read/2021/11/21/110400775/warung-soto-lenthok-legendaris-di-yogyakarta-sejak-1987-eksis-sampai?page=all,1 Nov 2021
bantulan,"Bakmi Goreng Nyemek Pak Pele Bantulan, Enak Banget! - GenPI.co JOGJA","Warung Bakmi Pak Pele Bantulan salah satu kuliner malam yang sudah terkenal 
dengan kelezatannya. - GenPI.co JOGJA.",https://jogja.genpi.co/kafe-dan-resto/2206/bakmi-goreng-nyemek-pak-pele-bantulan-enak-banget,7 Nov 2021
bantulan,"5 Nasi Uduk di Jogja yang Terkenal Enak dan Murah, Nasi Uduk Sate Pejoeang Godean Bikin Nagih","Nasi uduk bisa menjadi pilihan menu makan murah, enak dan mengenyangkan 
saat liburan di Jogja.",https://travel.tribunnews.com/2021/11/09/5-nasi-uduk-di-jogja-yang-terkenal-enak-dan-murah-nasi-uduk-sate-pejoeang-godean-bikin-nagih,Nov 2021
bantulan,"Rekomendasi 5 Nasi Uduk Terenak di Jogja : Gurih, Lezat dan Bikin Nagih","Nasi uduk merupakan makanan khas Indonesia yang sudah sangat terkenal di 
kalangan masyarakat, selain itu nasi uduk memiliki ciri khas rasa - Halaman 
all.",https://jogja.tribunnews.com/2021/11/09/rekomendasi-5-nasi-uduk-terenak-di-jogja-gurih-lezat-dan-bikin-nagih?page=all,Nov 2021
bantulan,Sate Kere Mbah Mardi Yang Laris Dan Legendaris Yogya,"Warung Sate Kere Mbah Mardi, dikenal sebagai salah satu kuliner legendaris 
Yogyakarta. Selain lezat, harga sate yang terletak di Jalan Godean KM 7, 
Gesikan,...",https://gudeg.net/read/14123/sate-kere-mbah-mardi-yang-laris-dan-legendaris.html,5 Sep 2019
bantulan,Menikmati Bakmi Jawa Legendaris di Warung Bakmi Pak Pele - Harianjogja.com,"Harianjogja.com, JOGJA—Bagi penikmat kuliner malam hari di Jogja, salah 
satu masakan yang tidak boleh dilewatkan ialah bakmi jawa.",https://wisata.harianjogja.com/read/2018/09/04/504/937503/menikmati-bakmi-jawa-legendaris-di-warung-bakmi-pak-pele,Sep 2018
