location,title,desc,link,date
condongcatur,Sleman Gagas Creative Park di Taman Kuliner Condongcatur,"Bupati Sleman, Kustini Sri Purnomo berdiskusi dengan insan kreatif di 
Sleman Creative Space, dalam rangkaian Sleman Creative Week #2.",https://www.krjogja.com/berita-lokal/read/477776/sleman-gagas-creative-park-di-taman-kuliner-condongcatur,bulan lalu
condongcatur,Kuliner Jogja Malam Hari Cocok untuk Mengisi Perut Ketika Lapar Melanda,"Iga Bajog adalah Kuliner jogja yang buka selama 24 jam dan gak pernah tutup 
ini cocok untuk dijadikan referensi saat lapar tengah malam.",https://jogja.tribunnews.com/2022/10/17/kuliner-jogja-malam-hari-cocok-untuk-mengisi-perut-ketika-lapar-melanda,bulan lalu
condongcatur,Kuliner Jogja: 5 Rekomendasi Tempat Makan Nasi Goreng Babat Terfavorit di Yogyakarta,"Kamu termasuk Kuliner Jogja hunter? nasi goreng babat mana menurutmu yang 
paling enak? Biar gak galau, berikut 5 rekomendasi tempat makan nasi goreng:",https://jogja.tribunnews.com/2022/10/17/kuliner-jogja-5-rekomendasi-tempat-makan-nasi-goreng-babat-terfavorit-di-yogyakarta,bulan lalu
condongcatur,"Rekomendasi Kuliner Jogja Menu Serba Mie : Mie Ayam, Yamie, Bakmie","TRIBUNJOGJA.COM - Kuliner Jogja, Jika anda pecinta olahan mie, di Jogja 
terdapat spot makan mie yang bisa anda cobain. Kuliner Jogja ini langganan 
banyak...",https://jogja.tribunnews.com/2022/10/10/rekomendasi-kuliner-jogja-menu-serba-mie-mie-ayam-yamie-bakmie,bulan lalu
condongcatur,3 Rekomendasi Kuliner Jogja yang Pedasnya Nampol,"Namun tahukah kamu, ada juga beberapa tempat makan yang menawarkan Kuliner 
Jogja dengan tingkat ke- Pedas an yang gak main-main loh.",https://jogja.tribunnews.com/2022/09/30/3-rekomendasi-kuliner-jogja-yang-pedasnya-nampol,30 Sep 2022
condongcatur,"39 Ribu Pengunjung Hadiri FKY 2022, 1.749 Seniman Dapat Ruang Berekspresi","39 ribu lebih warga masyarakat turut hadir dalam Festival Kebudayaan 
Yogyakarta (FKY) 2022 bertema Merekah Ruah yang digelar secara luring.",https://www.krjogja.com/hiburan/read/473585/39-ribu-pengunjung-hadiri-fky-2022-1749-seniman-dapat-ruang-berekspresi,5 Sep 2022
condongcatur,"Kemeriahan FKY 2022 di Taman Kuliner Condong Catur, Ada 3 Panggung dan Aneka Jajanan!","Program FKY 2022 hadir di berbagai lokasi berbeda, salah satunya berada di 
Taman Kuliner Condongcatur.",https://www.piknikdong.com/kemeriahan-fky-2022-di-taman-kuliner-condong-catur.html,3 Sep 2022
condongcatur,"Festival Kebudayaan Yogyakarta 2022 Digelar Hybrid, Lokasi Tersebar di Banyak Tempat - Kompas.com","Gelaran FKY 2022 akan dilakukan di banyak tempat. Acara juga akan disiarkan 
secara online dan langsung. Halaman all.",https://travel.kompas.com/read/2022/09/09/150300327/festival-kebudayaan-yogyakarta-2022-digelar-hybrid-lokasi-tersebar-di-banyak?page=all,Sep 2022
condongcatur,Dijamin Enak! Rekomendasi Kuliner Jogja Hidden Gems Sayang untuk Dilewatkan,"TRIBUNJOGJA.COM - Selain Gudeg, Daerah Istimewa Yogyakarta (DIY) juga 
dikenal dengan sederet wisata Kuliner Jogja yang menggugah selera.",https://jogja.tribunnews.com/2022/09/09/dijamin-enak-rekomendasi-kuliner-jogja-hidden-gems-sayang-untuk-dilewatkan,Sep 2022
condongcatur,"Festival Kebudayaan Yogyakarta 2022 Siap Digelar, Catat Tanggalnya!","FKY 2022 siap digelar di sejumlah titik, sudap siap untuk hadir?",https://jogja.suara.com/read/2022/09/09/165920/festival-kebudayaan-yogyakarta-2022-siap-digelar-catat-tanggalnya,Sep 2022
