location,title,desc,link,date
demangan,"Rekomendasi Kuliner Jogja dengan View Kereta Api, Lesehan Lestari Juaranya","Kuliner jogja Lesehan Lestari ini menyediakan view kereta api yang pastinya 
beda banget dengan kuliner jogja lainnya.",https://jogja.tribunnews.com/2022/11/17/rekomendasi-kuliner-jogja-dengan-view-kereta-api-lesehan-lestari-juaranya,minggu lalu
demangan,"Murah Meriah, Yuk Cobain Bubur Kuah Seblak Topping Beef Yakiniku ala Jepang!","YOGYAKARTA merupakan kota yang banyak menjajakan masakan gudeg ini ternyata 
menyimpan kuliner lain terenak dan sangat murah. Hidangan yang satu ini,...",https://travel.okezone.com/read/2022/11/02/301/2699344/murah-meriah-yuk-cobain-bubur-kuah-seblak-topping-beef-yakiniku-ala-jepang,minggu lalu
demangan,"10 Tempat Makan Malam Enak di Jogja, Termasuk Nasi Langgi Pak Man","TRIBUNTRAVEL.COM - Traveler yang lagi liburan di Jogja, wajib cobain 
kuliner setempat buat makan malam enak. Ada berbagai tempat makan malam 
enak di Jogja...",https://travel.tribunnews.com/2022/10/15/10-tempat-makan-malam-enak-di-jogja-termasuk-nasi-langgi-pak-man,bulan lalu
demangan,Kuliner Jogja Legendaris: 5 Rekomendasi Kedai Es Enak Dijamin Bikin Segar!,"Salah satu cara untuk melepas dahaga ialah dengan mencari Kuliner Jogja 
yang segar, seperti mengunjungi kedai es.",https://jogja.tribunnews.com/2022/09/15/kuliner-jogja-legendaris-5-rekomendasi-kedai-es-enak-dijamin-bikin-segar,5 Sep 2022
demangan,"Kuliner Legendaris Sop Empal Sapi Mbah Wignyo Jogja, Sudah Sejak Tahun 1970an","KOMPASTV - Selanjutnya menu legendaris yang akan menggoyang lidah Benu 
adalah sayur sop yang mungkin hampir semua orang suka dan pernah 
mencicipinya.",https://www.msn.com/id-id/video/berita/kuliner-legendaris-sop-empal-sapi-mbah-wignyo-jogja-sudah-sejak-tahun-1970an/vi-AA11RIhP,5 Sep 2022
demangan,Kuliner Jogja: 4 Tempat Makan Murah dan Enak Favorit Mahasiswa,"Ada banyak kuliner Jogja yang menjajakan menu makanan enak dan murah. 
Berikut rekomendasi empat tempat makan yang enak favorit mahasiswa Jogja:",https://jogja.tribunnews.com/2022/09/05/kuliner-jogja-4-tempat-makan-murah-dan-enak-favorit-mahasiswa,Sep 2022
demangan,Kuliner Jogja: 4 Tempat Makan Murah dan Enak Favorit Mahasiswa,"Tribunjogja.com - Banyak kalangan mahasiswa yang mencari tempat makan murah 
dan enak di Jogja. Ada banyak kuliner Jogja yang menjajakan menu makanan 
enak...",https://www.msn.com/id-id/news/other/kuliner-jogja-4-tempat-makan-murah-dan-enak-favorit-mahasiswa/ar-AA11tjCR,Sep 2022
demangan,"7 Rekomendasi Tempat Nongkrong di Yogyakarta, Asyik Abis Buat Temu Kangen!","Selain menjadi kota pelajar, Yogyakarta kerap kali dikunjungi oleh para 
wisatawan untuk berlibur dan berwisata.",https://www.suara.com/lifestyle/2022/08/29/104216/7-rekomendasi-tempat-nongkrong-di-yogyakarta-asyik-abis-buat-temu-kangen,9 Agu 2022
demangan,"Banyak Dicari Wanita Ngidam, Laris Manis saat Event Jadul","Kuliner legendaris yang dibuat dari tepung hunkwe itu dulunya banyak diburu 
anak-anak sebagai pelepas dahaga usai bermain.",https://radarjogja.jawapos.com/jogja-raya/2022/07/31/banyak-dicari-wanita-ngidam-laris-manis-saat-event-jadul/,1 Jul 2022
demangan,Es Doger Balai Yasa Yogyakarta yang Tak Pernah Sepi Pengunjung,"TRIBUNJOGJA.COM - Obyek wisata Jogja banyak macam jenisnya dan dapat 
ditemui di berbagai sudut tempat di wilayah Daerah Istimewa Yogyakarta.",https://jogja.tribunnews.com/2022/07/20/es-doger-balai-yasa-yogyakarta-yang-tak-pernah-sepi-pengunjung,20 Jul 2022
