location,title,desc,link,date
dongkelan,"14 Wisata Religi di Jogja: Masjid, Kelenteng hingga Pura","Jogja juga menyuguhkan wisata religi yang layak dikunjungi di Jogja. Simak 
daftar masjid, gereja, hingga kelenteng untuk ziarah di Jogja di sini ya!",https://www.detik.com/jateng/wisata/d-6169554/14-wisata-religi-di-jogja-masjid-kelenteng-hingga-pura,Jul 2022
dongkelan,Daftar Lokasi Salat Idul Adha di Jogja Minggu 10 Juli,"Muhammadiyah menetapkan Idul Adha 2022 jatuh pada Sabtu (9/7/2022). 
Sedangkan Pemerintah dan NU memutuskan Idul Adha 2022 pada Minggu 
(10/7/2022).",https://www.detik.com/jateng/jogja/d-6168701/daftar-lokasi-salat-idul-adha-di-jogja-minggu-10-juli,Jul 2022
dongkelan,Kuliner Pasty Buka Hingga Malam Mulai 1 Juni 2022 Bersama Zona Ikan Hias,"YOGYA, KRJOGJA.com - Dalam upaya mendukung kebangkitan pariwisata, Taman 
Kuliner Pasty Yogyakarta, Jalan Bantul, Dongkelan kembali buka malam hari 
mulai...",https://www.krjogja.com/berita-lokal/read/234697/kuliner-pasty-buka-hingga-malam-mulai-1-juni-2022-bersama-zona-ikan-hias,1 Mei 2022
dongkelan,"Kuliner Langka di Jogja, Icip Lezatnya Mi Lethek Khas Bantul yang Legendaris","TRIBUNTRAVEL.COM - Punya rencana berburu kuliner di Jogja? Jangan lupa 
mampir ke Bakmi Jowo & Mie Lethek Pandawa. Lokasinya berada di Jalan Bantul 
KM 4,5,...",https://travel.tribunnews.com/2022/05/06/kuliner-langka-di-jogja-icip-lezatnya-mi-lethek-khas-bantul-yang-legendaris,Mei 2022
dongkelan,"Masjid Pathok Nagari Dongkelan, Saksi Bisu Perjuangan-Dakwah Diponegoro","Masjid Pathok Nagari Dongkelan konon disebut sebagai tempat Pangeran 
Diponegoro berdakwah dan menyusun strategi melawan Belanda.",https://www.detik.com/jateng/jogja/d-6043035/masjid-pathok-nagari-dongkelan-saksi-bisu-perjuangan-dakwah-diponegoro,1 Apr 2022
dongkelan,Ternyata Ini Cerita di Balik Nama Masjid Pathok Nagari Babadan,"Masjid Pathok Nagari Babadan Kauman yang berfungsi sebagai KUA pada masanya 
ini ternyata menggunakan nama Raja Keraton Jogja Sri Sultan Hamengku Buwono 
(HB)...",https://www.detik.com/jateng/jogja/d-6043057/ternyata-ini-cerita-di-balik-nama-masjid-pathok-nagari-babadan,1 Apr 2022
dongkelan,Mengenal Lima Masjid Pathok Negara Keraton Yogyakarta di Sleman dan Bantul,"BacaJogja – Masjid Pathok Negara meruapakan status lima masjid selain 
Masjid Agung Karaton yang dikelola Keraton Yogyakarta. Lima masjid ini 
dibangun pada...",https://bacajogja.id/2022/04/19/mengenal-lima-masjid-pathok-negara-keraton-yogyakarta-di-sleman-dan-bantul/,9 Apr 2022
dongkelan,15 Restoran dan Cafe di Bantul Yogyakarta dengan Pemandangan Indah - Kompas.com,"Berikut 15 rekomendasi kafe dan restoran dengan pemandangan indah di Bantul 
Yogyakarta. Cocok untuk bersantai saat akhir pekan. Halaman all.",https://www.kompas.com/food/read/2021/10/17/091200775/15-restoran-dan-cafe-di-bantul-yogyakarta-dengan-pemandangan-indah?page=all,7 Okt 2021
dongkelan,"Beri Diskon 30% ‘Peduli Dampak Covid-19’, Bakso-Soto-Mie Ayam Mbak Ragil, Bukan Buntung Justru Untung - KH","Dampak COVID-19 juga dirasakan Bakso-Soto-Mie Ayam Mbak Ragil yang berada 
di Jl. Bantul No.303, Dongkelan, Pangungharjo, Sewon, Bantul, Yogyakarta. 
Namun.",https://kabarhandayani.com/beri-diskon-30-peduli-dampak-covid-19-bakso-soto-mie-ayam-mbak-ragil-bukan-buntung-justru-untung/,9 Sep 2021
dongkelan,3 Kuliner Mi Khas Bantul Yogyakarta yang Wajib Dicoba Para Penggemar Mi,"Bantul, Jogja memiliki kuliner mi yang wajib di coba, mulai dari mi lethek, 
mi des hingga mi pentil yang lezat.",https://travel.tribunnews.com/2021/07/06/3-kuliner-mi-khas-bantul-yogyakarta-yang-wajib-dicoba-para-penggemar-mi,Jul 2021
