location,title,desc,link,date
gamping,"Bubur Kalkun Burjon di Yogyakarta, Rasanya Gurih Banget! - GenPI.co JOGJA","Bubur Kalkun Burjon, salah satu tempat kuliner di Yogyakarta cocok bagi 
kalian ingin mencari menu sarapan lezat. - GenPI.co JOGJA.",https://jogja.genpi.co/travel/8555/bubur-kalkun-burjon-di-yogyakarta-rasanya-gurih-banget,0 jam lalu
gamping,"Rumah Bertumbuh, Konsep Ayom Dalam Menjalankan Usaha - kumparan.com","Ayom Jogja, resto pendatang baru yang sukses menjalankan usaha dengan 
konsep rumah bertumbuh, lokasi yang sesuai kemudian didukung filosofi dalam 
setiap...",https://kumparan.com/brilian-ghol-jiddan/rumah-bertumbuh-konsep-ayom-dalam-menjalankan-usaha-1zHz60qXNav,5 hari lalu
gamping,"Pelecing Kangkung, Makanan khas Lombok yang Laris di Jogja - kumparan.com","Warung masakan khas Lombok (Pawon Inaq) yang berada di Yogyakarta ini 
memiliki ciri khas tersendiri, berbeda dengan masakan lainnya.",https://kumparan.com/habib-rakhman/pelecing-kangkung-makanan-khas-lombok-yang-laris-di-jogja-1zDYhdxWIP1,minggu lalu
gamping,Bagaimana Masakan Khas Lombok Bersaing di Jogja - kumparan.com,"Pembaca akan mendapatkan wawasan tentang warung Pawon Inaq yang ramai 
diserbu, serta daya tarik mahasiswa terhadap masakan khas Lombok tersebut.",https://kumparan.com/iqbalpras1211/bagaimana-masakan-khas-lombok-bersaing-di-jogja-1zDpzO9vzEd,minggu lalu
gamping,"4 wisata kuliner tersembunyi dekat Malioboro Jogja, salah satunya angkringan yang dikunjungi Presiden Jokowi - Agtv News","AGTVnews.com - Bagi yang berminat untuk mencicipi cita rasa yang ada di 
wisata kuliner tersembunyi dekat Malioboro Jogja, kamu berada di tempat 
yang tepat.",https://www.agtvnews.com/wisata-hiburan/pr-585714445/4-wisata-kuliner-tersembunyi-dekat-malioboro-jogja-salah-satunya-angkringan-yang-dikunjungi-presiden-jokowi,minggu lalu
gamping,"Angkringan Pak Bambang, Bertahan Diantara Aneka Kuliner Kekinian Yogyakarta - kumparan.com","Narasi tentang kehidupan seorang pedagang angkringan di Yogyakarta yang 
masih bertahan usaha sejak 2018 hingga sekarang.",https://kumparan.com/ikmal-nuraqila/angkringan-pak-bambang-bertahan-diantara-aneka-kuliner-kekinian-yogyakarta-1zDgZfCY7fS,minggu lalu
gamping,Festival Kuliner Angkat Produk UMKM Sebagai Daya Tarik Wisatawan,"Meski sempat dihantam pandemi Covid-19 selama dua tahun lalu, geliat 
perekonomian ibukota Provinsi Kalimantan Barat (Kalbar) ini mulai kembali 
bergair.",https://pontianak.tribunnews.com/2022/11/07/festival-kuliner-angkat-produk-umkm-sebagai-daya-tarik-wisatawan,minggu lalu
gamping,"Kuliner Klaten: Sate Kambing Pak Kamto, Kuliner Legendaris di Jatinom yang Sudah Ada Sejak 1970-an","Sate kambing warung makan Pak Kamto ini diburu para pencinta daging kambing 
dari seluruh penjuru negeri.",https://solo.tribunnews.com/2022/10/13/kuliner-klaten-sate-kambing-pak-kamto-kuliner-legendaris-di-jatinom-yang-sudah-ada-sejak-1970-an,bulan lalu
gamping,"Kuliner Bali, Nongkrong Asik di Rumka Bali dengan Pemandangan Sawah hingga Terdapat Api Unggun","TRIBUN-BALI.COM – Selain memiliki keindahan alam, Bali terkenal dengan 
sajian kulinernya yang khas. Mulai dari yang tradisional hingga yang 
kekinian...",https://bali.tribunnews.com/2022/10/03/kuliner-bali-nongkrong-asik-di-rumka-bali-dengan-pemandangan-sawah-hingga-terdapat-api-unggun,bulan lalu
gamping,KULINER JOGJA: Tempat Makan Bareng Keluarga dengan Pemandangan Sawah,"Salah satunya dengan ber wisata Kuliner Jogja. Berikut 3 rekomendasi 
Kuliner Jogja bareng keluarga yang bisa Kamu kunjungi:",https://jogja.tribunnews.com/2022/09/02/kuliner-jogja-tempat-makan-bareng-keluarga-dengan-pemandangan-sawah,Sep 2022
