"location","title","desc","link","date"
"giwangan","Embung Giwangan Yogyakarta Belum Resmi Dibuka, tapi Bisa Digunakan - Kompas.com","Namun, masyarakat yang mau melakukan aktiviitas di Embung Giwangan perlu 
menyampaikan pemberitahuan. Misalnya, jika ingin menggelar kegiatan 
komunitas.","https://travel.kompas.com/read/2022/10/23/132643827/embung-giwangan-yogyakarta-belum-resmi-dibuka-tapi-bisa-digunakan","bulan lalu"
"giwangan","10 Kuliner Yogyakarta Cukup Bayar 10-15 Ribu Masih Dapat Kembalian - Insiden 24","Ringan dikantong, ini dia 10 kuliner Yogyakarta yang musti kamu tahu hanya 
sekitar 10-15 ribu saja sudah dapat membuatmu kenyang dan puas.","https://www.insiden24.com/ragam/pr-3964934433/10-kuliner-yogyakarta-cukup-bayar-10-15-ribu-masih-dapat-kembalian","7 Sep 2022"
"giwangan","KULINER JOGJA: 5 Rekomendasi Tempat Makan dengan Harga Terjangkau","Nah, bagi kamu yang ingin mencicipi Kuliner Jogja dengan harga terjangkau, 
berikut kami rekomendasikan 5 tempat makan yang bisa kamu kunjungi:","https://jogja.tribunnews.com/2022/09/21/kuliner-jogja-5-rekomendasi-tempat-makan-dengan-harga-terjangkau","1 Sep 2022"
"giwangan","8 Kuliner Jogja Populer dan Terkenal Enaknya Ada Mie Sapi Banteng Hingga Es Doger!","Berikut ini deretan Kuliner Jogja yang populer dan lezat, mulai dari mie 
sapi hingga es tradisional!","https://jogja.tribunnews.com/2022/08/30/8-kuliner-jogja-populer-dan-terkenal-enaknya-ada-mie-sapi-banteng-hingga-es-doger","30 Agu 2022"
"giwangan","Mie Ayam Tumini, Kuliner Legendaris di Jogja yang Bikin Pengunjung Rela Mengantre - Koran Memo","koranmemo.com - Bicara tentang Yogyakarta, tak afdol rasanya jika hanya 
dari destinasi wisata saja. Kota Pelajar ini juga memiliki wisata kuliner 
yang...","https://www.koranmemo.com/wisata-travelling/pr-1924283043/mie-ayam-tumini-kuliner-legendaris-di-jogja-yang-bikin-pengunjung-rela-mengantre","7 Agu 2022"
"giwangan","Festival UMKM Rumah Zakat Meriahkan HUT RI Ke-77 - kumparan.com","YOGYAKARTA - Dalam rangka memperingati Hari UMKM Nasional, Rumah Zakat 
Yogyakarta berkolaborasi dengan Pemerintah Kelurahan Giwangan mengadakan 
kegiatan...","https://kumparan.com/rumah-zakat-rz1503373560464/festival-umkm-rumah-zakat-meriahkan-hut-ri-ke-77-1yi2ctKdHXO","2 Agu 2022"
"giwangan","Kuliner Jogja: 5 Rekomendasi Mie Ayam Enak dan Laris di Yogyakarta","Sederet warung mie ayam pun menyajikan menu yang bervariasi, maka tidak 
heran mie ayam menjadi salah satu Kuliner Jogja selain enak juga laris.","https://jogja.tribunnews.com/2022/08/22/kuliner-jogja-5-rekomendasi-mie-ayam-enak-dan-laris-di-yogyakarta","2 Agu 2022"
"giwangan","Festival UMKM Rumah Zakat Meriahkan HUT 77 RI","REPUBLIKA.CO.ID, YOGYAKARTA -- Rumah Zakat Yogyakarta berkolaborasi dengan 
Pemerintah Kelurahan Giwangan mengadakan Festival Kuliner.","https://repjogja.republika.co.id/berita/rgt0qw399/festival-umkm-rumah-zakat-meriahkan-hut-77-ri","8 Agu 2022"
"giwangan","4 Wisata Kuliner Mie Ayam Terkenal di Jogja, Siap Memanjakan Lidah dan Perutmu!","Tribunjogja.com - Olahan mie menjadi salah satu makanan yang digandrungi 
oleh para kawula muda. Makanan berbahan dasar tepung yang dibentuk 
memanjang itu...","https://jogja.tribunnews.com/2022/07/25/4-wisata-kuliner-mie-ayam-terkenal-di-jogja-siap-memanjakan-lidah-dan-perutmu","5 Jul 2022"
"giwangan","Arus Mudik Penumpang Terpantau Meningkat, Terminal Giwangan Mulai Berangkatkan Bus Tambahan","Pada Senin (25/4/2022), penumpang yang diberangkatkan dari Terminal 
Giwangan Yogyakarta menggunakan bus antarkota antarprovinsi (AKAP) tercatat 
sebanyak...","https://jogja.suara.com/read/2022/04/26/172746/arus-mudik-penumpang-terpantau-meningkat-terminal-giwangan-mulai-berangkatkan-bus-tambahan","6 Apr 2022"
"giwangan","8 Rekomendasi Makan Siang Hari Ini di Jogja yang Paling Viral, Mie Sapi Banteng - Mangut Lele - Kapanlagi.com","Selain pariwisata, Jogja memiliki berbagai kuliner yang menarik. Kalian 
bisa dengan mudah menemukan berbagai rekomendasi makan siang hari ini yang 
lezat,...","https://plus.kapanlagi.com/8-rekomendasi-makan-siang-hari-ini-di-jogja-yang-paling-viral-mie-sapi-banteng-mangut-lele-649672.html","Apr 2022"
"giwangan","15 Mie Ayam Enak di Yogyakarta, Favorit Warga Lokal dan Wisatawan - Kompas.com","Berikut 15 rekomendasi warung mie ayam enak di Yogyakarta yang wajib 
dicoba. Beberapa di antaranya cukup terkenal. Halaman all.","https://www.kompas.com/food/read/2021/10/15/121200975/15-mie-ayam-enak-di-yogyakarta-favorit-warga-lokal-dan-wisatawan?page=all","5 Okt 2021"
"giwangan","7 Restoran Seafood di Yogyakarta, Terkenal untuk Wisata Kuliner - Kompas.com","KOMPAS.com - Saat berkunjung ke Yogyakarta, jangan lupa untuk menyempatkan 
menikmati aneka kuliner yang ada di sana. Salah satunya, aneka masakan 
hasil laut...","https://www.kompas.com/food/read/2021/09/15/201100175/7-restoran-seafood-di-yogyakarta-terkenal-untuk-wisata-kuliner?page=all","5 Sep 2021"
"giwangan","Tempat Makan Murah dan Rame di Yogyakarta - Kompasiana.com","Selain wisata alam, Yogyakarta juga punya segudang makanan murah sewaktu 
liburan ke Yogyakarta. Ada banyak sekali tempat makan murah di jogja dengan 
varian...","https://www.kompasiana.com/tamaguntur1377/607a99ba8ede4844553ba963/tempat-makan-murah-dan-rame-di-yogyakarta","7 Apr 2021"
"giwangan","Sebelum Jeruk Nipis Jadi Lemon Tea dan Teman Makan Soto - kumparan.com","Jeruk nipis banyak didatangkan dari Gresik dan Banyuwangi. Ini kisah 
bagaimana jeruk nipis sampai ke meja makan Anda. Sekaligus tips bagaimana 
memilih jeruk...","https://kumparan.com/pandangan-jogja-com/sebelum-jeruk-nipis-jadi-lemon-tea-dan-teman-makan-soto-1uz2PTKqXAQ","5 Jan 2021"
"giwangan","7 Restoran Seafood di Yogyakarta, Terkenal untuk Wisata Kuliner - Kompas.com","KOMPAS.com - Saat berkunjung ke Yogyakarta, jangan lupa untuk menyempatkan 
menikmati aneka kuliner yang ada di sana. Salah satunya, aneka masakan 
hasil laut...","https://www.kompas.com/food/read/2021/09/15/201100175/7-restoran-seafood-di-yogyakarta-terkenal-untuk-wisata-kuliner?page=all","5 Sep 2021"
"giwangan","Tempat Makan Murah dan Rame di Yogyakarta - Kompasiana.com","Selain wisata alam, Yogyakarta juga punya segudang makanan murah sewaktu 
liburan ke Yogyakarta. Ada banyak sekali tempat makan murah di jogja dengan 
varian...","https://www.kompasiana.com/tamaguntur1377/607a99ba8ede4844553ba963/tempat-makan-murah-dan-rame-di-yogyakarta","7 Apr 2021"
"giwangan","Sebelum Jeruk Nipis Jadi Lemon Tea dan Teman Makan Soto - kumparan.com","Jeruk nipis banyak didatangkan dari Gresik dan Banyuwangi. Ini kisah 
bagaimana jeruk nipis sampai ke meja makan Anda. Sekaligus tips bagaimana 
memilih jeruk...","https://kumparan.com/pandangan-jogja-com/sebelum-jeruk-nipis-jadi-lemon-tea-dan-teman-makan-soto-1uz2PTKqXAQ","5 Jan 2021"
"giwangan","5 Tempat Ngopi Cantik di Yogyakarta, View-nya Keren","Bersantai sambil ngopi cantik jadi kegiatan seru saat liburan - Wisata 
Kuliner - okezone travel.","https://travel.okezone.com/read/2020/11/14/301/2309600/5-tempat-ngopi-cantik-di-yogyakarta-view-nya-keren","5 Nov 2020"
"giwangan","3 Tempat Wisata Hits di Yogyakarta ini Bisa Dinikmati Secara Gratis Saat Libur Panjang - Portal Jogja","Dam 6 tingkat ini kemudian ramai dikunjungi karena menawarkan pemandangan 
yang menawan dan layak untuk dijadikan tempat untuk berfoto-foto.","https://portaljogja.pikiran-rakyat.com/lifestyle/pr-25886238/3-tempat-wisata-hits-di-yogyakarta-ini-bisa-dinikmati-secara-gratis-saat-libur-panjang","9 Okt 2020"
"giwangan","Wisata ke Jogja, Ini 4 Transportasi Menuju Candi Prambanan","Untuk menuju ke Candi Prambanan, terdapat beragam transportasi yang bisa 
dijadikan sarana mengakses candi Hindu terbesar di Indonesia ini.","https://jogja.suara.com/read/2020/09/02/142638/wisata-ke-jogja-ini-4-transportasi-menuju-candi-prambanan?page=all","Sep 2020"
"giwangan","Di Bawah Rp10 Ribu, Ini Deretan Kuliner Jogja yang Murah selain Angkringan","Mulai dari dimsum hingga nasi kebuli, ulasan singkat @IndraMenus di 
cuitannya cukup menarik perhatian warganet.","https://jogja.suara.com/read/2020/08/22/154052/di-bawah-rp10-ribu-ini-deretan-kuliner-jogja-yang-murah-selain-angkringan?page=all","2 Agu 2020"
"giwangan","Bendung Lepen Sungai Gajah Wong, Wisata di Jogja yang Tawarkan Sensasi Kaki Dikerubungi Ikan","Wisata Bendung Lepen Sungai Gajah Wong di kawasan Mrican, Giwangan, 
Umbulharjo, Kota Yogyakarta semakin digandrungi pengunjung.","https://travel.tribunnews.com/2020/07/22/bendung-lepen-sungai-gajah-wong-wisata-di-jogja-yang-tawarkan-sensasi-kaki-dikerubungi-ikan","2 Jul 2020"
"giwangan","Mie Ayam Tumini: Kuliner Legendaris di Jogja yang Wajib Kamu Kunjungi","Mengunjungi Yogyakarta tidak lengkap jika hanya berwisata saja, namun tidak 
mencoba makanan yang fenomenal di Yogyakarta yaitu Mie Ayam Tumini.","https://yoursay.suara.com/news/2020/07/15/150950/mie-ayam-tumini-kuliner-legendaris-di-jogja-yang-wajib-kamu-kunjungi","5 Jul 2020"
"giwangan","Bu Tumini Wafat, Ini Kisah Sukses Mie Ayam Tumini yang Legendaris","Walaupun Bu Tumini sudah wafat, warung makan mie ayam ini masih menjadi 
favorit banyak orang. Ini kisah sukses mie ayam Tumini yang legendaris!","https://food.detik.com/info-kuliner/d-4892007/bu-tumini-wafat-ini-kisah-sukses-mie-ayam-tumini-yang-legendaris","Feb 2020"
"giwangan","INGKUNG BEBEK SPESIAL ALA BALE BEBEK GIWANGAN","Ada begitu banyak rumah makan di Yogyakarta yang menyajikan berbagai olahan 
ayam hingga ikan. Namun, olahan bebek justru bisa dikatakan jarang 
ditemukan.","https://www.youtube.com/watch?v=a7_Udme9aUI","7 Jan 2020"
"giwangan","Nikmatnya Makan Seafood Bareng Keluarga di Bale Ayu Giwangan","Laporan Reporter Tribun Jogja, Alexander Ermando. TRIBUNJOGJA.COM - Musim 
liburan akhir tahun telah tiba. Momen ini tentunya tak bisa dilewatkan 
tanpa...","https://jogja.tribunnews.com/2019/12/23/nikmatnya-makan-seafood-bareng-keluarga-di-bale-ayu-giwangan","3 Des 2019"
"giwangan","10 Kuliner Jogja yang Enak dan Hits, Kamu Harus Coba!","Mampir ke Jogja? Jangan sampai lewatkan kulinernya. Ada banyak kuliner 
Jogja yang bisa kamu coba. Apa saja ya?","https://food.detik.com/info-kuliner/d-4688323/10-kuliner-jogja-yang-enak-dan-hits-kamu-harus-coba","1 Agu 2019"
"giwangan","5 Racikan Mie Enak di Jogja yang Wajib Kamu Coba","Jalan-jalan ke Jogja bisa kulineran mie ayam enak. Ada versi mie ayam 
gerobakan hingga bakmi Jawa dengan harga di kantong. Dijamin puas saat 
melahapnya.","https://food.detik.com/info-kuliner/d-4640795/5-racikan-mie-enak-di-jogja-yang-wajib-kamu-coba","7 Jul 2019"
"giwangan","Wisata Kuliner 5 Mie Ayam Paling Enak di Yogyakarta","Tak hanya dihuni banyak pelajar, Daerah Istimewa Yogyakarta adalah 
gudangnya kuliner mie ayam. Ini dia 5 mie ayam paling enak di sana.","https://intisari.grid.id/read/031640599/wisata-kuliner-5-mie-ayam-paling-enak-di-yogyakarta?page=all","8 Feb 2019"
"giwangan","Daftar 10 Warung Mie Ayam Murah dan Enak di Yogyakarta","Mie ayam menjadi makanan favorit banyak orang, karena rasanya yang memang 
lezat.","https://jogja.tribunnews.com/2018/11/20/daftar-10-warung-mie-ayam-murah-dan-enak-di-yogyakarta","20 Nov 2018"
"giwangan","Mudik kan? Ini Dia Kuliner Jogjakarta yang Bisa Dinikmati Saat Tiba di Terminal GiwanganÂ","Sebagai salah satu daerah tujuan wisata, Jogjakarta dipastikan akan sangat 
sibuk dalam #PesonaMudik2018.","https://www.ngopibareng.id/read/mudik-kan-ini-dia-kuliner-jogjakarta-yang-bisa-dinikmati-saat-tiba-di-terminal-giwangan-2608400","Jun 2018"
"giwangan","Kuliner Yogyakarta - Ini 5 Mi Ayam Legendaris Jogja, Sudah Ada Sejak Tahun 90-an,","Bersama bakso, mie ayam adalah jenis kuliner yang mudah ditemui di mana 
saja. Berikut ini adalah lima mi ayam di Yogyakarta yang wajib traveler 
coba.","https://travel.tribunnews.com/2016/12/03/kuliner-yogyakarta-ini-5-mi-ayam-legendaris-jogja-sudah-ada-sejak-tahun-90-an","Des 2016"
"giwangan","Lagi, Ditemukan Makanan Mengandung Rhodamin B","REPUBLIKA.CO.ID, YOGYAKARTA - Balai Besar Pengawas Obat dan Makanan 
Yogyakarta masih menemukan jajanan atau makanan kering yang terindikasi 
menggunakan zat...","https://www.republika.co.id/berita/mqqp2z/lagi-ditemukan-makanan-mengandung-rhodamin-b","30 Jul 2013"
