"location","title","desc","link","date"
"kotagede","Kuliner Yogyakarta : Bakmi Jowo Mbah Gito Melimpah Suwiran Ayamnya, Warung Hits Bekas Kandang Sapi","WARTAKOTALIVE.COM KOTAGEDE -- Kuliner Jogja memang tak ada habisnya untuk 
dibicarakan. Meski dikenal dengan julukan Kota Gudeg, nyatanya masih ada 
banyak...","https://wartakota.tribunnews.com/2022/11/15/kuliner-yogyakarta-bakmi-jowo-mbah-gito-melimpah-suwiran-ayamnya-warung-hits-bekas-kandang-sapi","minggu lalu"
"kotagede","Bakso Cenghar Mak Nai di Yogyakarta, Kuah Pedasnya Bikin Ngiler! - GenPI.co JOGJA","Bakso Cenghar Mak Nai, salah satu tempat kuliner di Yogyakarta yang 
menawarkan kelezatan bakso dengan kuah pedas. - GenPI.co JOGJA.","https://jogja.genpi.co/travel/8154/bakso-cenghar-mak-nai-di-yogyakarta-kuah-pedasnya-bikin-ngiler","bulan lalu"
"kotagede","Kuliner Jogja Bakso Unik Khas Zaman Dulu di Kotagede","Bakso Putu Sidosemi merupakan bakso khas zaman dulu yang sudah ada sejak 
tahun 50an, dengan rasa khasnya yang turun temurun.","https://jogja.tribunnews.com/2022/10/06/kuliner-jogja-bakso-unik-khas-zaman-dulu-di-kotagede","bulan lalu"
"kotagede","Rekomendasi Kuliner Jogja yang Buka Malam Hari, Cocok Dinikmati Ketika Cuaca Hujan","Ada banyak kuliner Yogyakarta yang khusus buka hanya pada malam hari. 
Berikut ini rekomendasi kuliner malam Jogja yang nikmat disantap ketika 
hujan.","https://jogja.tribunnews.com/2022/10/01/rekomendasi-kuliner-jogja-yang-buka-malam-hari-cocok-dinikmati-ketika-cuaca-hujan","Okt 2022"
"kotagede","Rekomendasi Kuliner Jogja Bakso, Bisa Coba Bakso Barokah Kotagede 354","Rekomendasi kuliner jogja wajib banget cobain bakso yang enak, dagingnya 
berasa dan pastinya dengan harga yang gak menguras kantong.","https://jogja.tribunnews.com/2022/10/01/rekomendasi-kuliner-jogja-bakso-bisa-coba-bakso-barokah-kotagede-354","Okt 2022"
"kotagede","15 Kuliner Malam di Jogja yang Terkenal Enak dan Murah, Bisa Pilih Seafood, Bebek Goreng atau Bakmi","Rekomendasi kuliner malam di Jogja yang terkenal enak dan murah. Pilihannya 
ada bebek goreng, bakmi dan seafood.","https://travel.tribunnews.com/2022/09/27/15-kuliner-malam-di-jogja-yang-terkenal-enak-dan-murah-bisa-pilih-seafood-bebek-goreng-atau-bakmi","7 Sep 2022"
"kotagede","Mencicipi Sate Karang Pak Prapto, Kuliner Legendaris dari Kotagede Jogja | merdeka.com","Sate Karang Pak Prapto merupakan salah satu kuliner malam di Kotagede. 
Keberadaan kuliner ini pun memiliki sejarah yang 
panjang.,DIY,Jateng,Berita,Kuliner...","https://www.merdeka.com/jateng/mencicipi-sate-karang-pak-prapto-kuliner-legendaris-dari-kotagede-jogja.html","7 Sep 2022"
"kotagede","Pasar Lawas 2022, Menikmati Kuliner Jadul di Kawasan Makam Raja-Raja Mataram Kotagede","Pasar Lawas Mataram Kotagede 2022 mulai buka sejak Jumat (26/8/2022) hingga 
Minggu (28/8/2022) di area Makam Raja-Raja Mataram Kotagede, Yogyakarta.","https://www.kompas.tv/article/322845/pasar-lawas-2022-menikmati-kuliner-jadul-di-kawasan-makam-raja-raja-mataram-kotagede","7 Agu 2022"
"kotagede","Rundown Acara Pasar Lawas Mataram pada 27-28 Agustus 2022 di Yogyakarta, Terdapat Aneka Jajanan Tradisional - Media Jawa Timur","Daftar acara, makanan, dan minuman di Pasar Lawas Mataram pada 27-28 
Agustus 2022 di Yogyakarta. Ada aneka jajanan tradisional.","https://mediajawatimur.pikiran-rakyat.com/umum/pr-1695370494/rundown-acara-pasar-lawas-mataram-pada-27-28-agustus-2022-di-yogyakarta-terdapat-aneka-jajanan-tradisional","7 Agu 2022"
"kotagede","Wisata Kuliner Jogja: 8 Kuliner Jadul yang Bisa Anda Temui di Pasar Kangen Jogja 2022","Tribun Jogja merangkum ada delapan kuliner jadul yang wajib Anda cicipi 
saat berkunjung ke Pasar Kangen Jogja 2022:","https://jogja.tribunnews.com/2022/08/22/wisata-kuliner-jogja-8-kuliner-jadul-yang-bisa-anda-temui-di-pasar-kangen-jogja-2022","2 Agu 2022"
