"location","title","desc","link","date"
"madukismo","Kereta Wisata Agrowisata di Pabrik Gula Madukismo Yogyakarta","Lori Agrowisata Madukismo membawa pengunjung berkeliling di Pabrik Gula 
Madukismo, Yogyakarta, Rabu (12/10/2022). Agrowisata dikenalkan ke 
masyarakat sejak...","https://www.republika.co.id/berita/rjmxc7314/kereta-wisata-agrowisata-di-pabrik-gula-madukismo-yogyakarta","bulan lalu"
"madukismo","Kenapa Makanan dari Jogja dan Jawa Dominan Manis-Manis?","Gudeg, bakpia, cenil, klepon, yangko, wingko, geplak, getuk, dan masih 
banyak lagi lainnya, adalah panganan khas Yogyakarta alias Jogja dan Jawa 
yang punya...","https://www.pramborsfm.com/lifestyle/kenapa-makanan-dari-jogja-dan-jawa-dominan-manis-manis","bulan lalu"
"madukismo","5 Fakta Menarik Pabrik Gula Madukismo, dari Sejarah hingga Tradisi Manten Tebu - Kompas.com","Pabrik Gula Madukismo tak hanya dikenal dari sejarahnya, namun juga 
berbagai tradisi yang masih dipertahankan hingga saat ini. Halaman all.","https://yogyakarta.kompas.com/read/2022/09/25/210540578/5-fakta-menarik-pabrik-gula-madukismo-dari-sejarah-hingga-tradisi-manten?page=all","5 Sep 2022"
"madukismo","5 Rekomendasi Tempat Sarapan di Yogyakarta yang Terkenal Enak dan Murah Cocok untuk Wisata Kuliner Jogja - Berita DIY","Terkenal enak dan murah yang cocok untuk wisata kuliner, ini 5 rekomendasi 
tempat sarapan di Yogyakarta saat pagi hari.","https://beritadiy.pikiran-rakyat.com/diy/pr-704650548/5-rekomendasi-tempat-sarapan-di-yogyakarta-yang-terkenal-enak-dan-murah-cocok-untuk-wisata-kuliner-jogja","Jun 2022"
"madukismo","Mangut Geger Sapi, Menu yang Lagi Ngehits di Bantul","Mangut atau masakan berkuah santan biasanya identik dengan lele atau ikan 
laut. Di Bantul, ada warung makan yang menyajikan mangut tulang geger 
(punggung)...","https://www.detik.com/jateng/kuliner/d-6084323/mangut-geger-sapi-menu-yang-lagi-ngehits-di-bantul","9 Mei 2022"
"madukismo","Satu-satunya Di Indonesia, Ada Mangut Geger Sapi Di Bantul","Bantul, Koran Jogja – Bagi yang senang berburu kuliner unik nan enak, 
mungkin menu khusus mangut geger (punggung) sapi bisa dijajal.","https://koran-jogja.com/satu-satunya-di-indonesia-ada-mangut-geger-sapi-di-bantul/","1 Mei 2022"
"madukismo","Punya Keluhan tentang Wisata Jogja Saat Libur Lebaran 2022? Kontak Hotline Ini Bisa Diakses Pakai WA - Berita DIY","Simak info kontak hotline yang bisa diakses memakai WA tentang keluhan 
wisata di Kota Yogyakarta atau Jogja saat libur Lebaran 2022 di sini.","https://beritadiy.pikiran-rakyat.com/diy/pr-704424504/punya-keluhan-tentang-wisata-jogja-saat-libur-lebaran-2022-kontak-hotline-ini-bisa-diakses-pakai-wa","Mei 2022"
"madukismo","Rekomendasi Makanan Tradisional Khas Yogyakarta Legendaris, Wajib Cicipi saat Wisata di Kota Pelajar - Berita DIY","Rekomendasi makanan tradisional khas Yogyakarta legendaris, wajib cicipi 
saat berkunjung dan wisata di Kota Pelajar.","https://beritadiy.pikiran-rakyat.com/diy/pr-704391766/rekomendasi-makanan-tradisional-khas-yogyakarta-legendaris-wajib-cicipi-saat-wisata-di-kota-pelajar","Mei 2022"
"madukismo","Mau Bermalam di Yogyakarta? Ini Dia Enam Homestay Terbaik 2022","Yogyakarta – Bukan rahasia umum, Yogyakarta sudah menjadi jujugan wisata. 
Destinasi wisata pun beragam, dari wisata alam, edukasi, sejarah, religi, 
budaya,...","https://bacajogja.id/2022/03/28/mau-bermalam-di-yogyakarta-ini-dia-enam-homestay-terbaik-2022/","8 Mar 2022"
"madukismo","Rekomendasi Wisata Kuliner dan Pasar Ramadhan di Jogja, Bersiap Berbuka Puasa dan Kulineran Jajanan Lokal - Berita DIY","Informasi tentang tempat rekomendasi untuk berwisata kuliner dan Pasar 
Ramadhan yang akan diadakan di Jogja pada puasa tahun ini.","https://beritadiy.pikiran-rakyat.com/diy/pr-704082332/rekomendasi-wisata-kuliner-dan-pasar-ramadhan-di-jogja-bersiap-berbuka-puasa-dan-kulineran-jajanan-lokal","6 Mar 2022"
"madukismo","6 Tempat Makan Lotek di Yogyakarta, Bisa untuk Sarapan dan Makan Siang - Kompas.com","KOMPAS.com - Lotek cocok dinikmati untuk sarapan atau makan siang. Jika 
kebetulan sedang jalan-jalan di Yogyakarta, ada beberapa penjual lotek enak 
yang...","https://www.kompas.com/food/read/2022/02/06/130200275/6-tempat-makan-lotek-di-yogyakarta-bisa-untuk-sarapan-dan-makan-siang?page=all","Feb 2022"
"madukismo","Sensasi Makan Balungan Dinosaurus! di Warung Sop & Sate Pak Bayu Jogja","KOMPASTV - Pada libur akhir tahun ini, Benoe akan ajak Foodlovers menikmati 
Jogja…! Pesona Yogyakarta memang selalu menarik siapa saja untuk datang 
ke...","https://www.kompas.tv/article/245569/sensasi-makan-balungan-dinosaurus-di-warung-sop-sate-pak-bayu-jogja","7 Des 2021"
"madukismo","Yogyakarta Dulu Ada 19 Pabrik Gula Kini Tinggal Madukismo, Berikut Daftarnya","Mengapa kuliner di Yogyakarta cenderung manis-manis? Apa karena Yogyakarta 
dulu punya banyak pabrik gula Berikut daftar pabrik gula yang pernah ada.","https://bacajogja.id/2021/11/27/yogyakarta-dulu-ada-19-pabrik-gula-kini-tinggal-madukismo-berikut-daftarnya/","7 Nov 2021"
"madukismo","15 Tempat Makan Soto Enak di Yogyakarta, Ada yang Sejak 1960 - Kompas.com","Berikut 15 rekomendasi tempat makan soto enak di Yogyakarta yang patut 
dicoba. Bisa dikunjungi untuk sarapan atau makan siang. Halaman all.","https://www.kompas.com/food/read/2021/11/21/131300575/15-tempat-makan-soto-enak-di-yogyakarta-ada-yang-sejak-1960?page=all","1 Nov 2021"
"madukismo","Jenang Gempol Legendaris di Yogyakarta, Sehari Olah 13 Kilogram Beras - Kompas.com","KOMPAS.com - Jenang gempol merupakan sajian tradisional khas Yogyakarta 
yang berisi bubur sumsum gula merah serta gempol berkuah santan.","https://www.kompas.com/food/read/2021/11/19/111100575/jenang-gempol-legendaris-di-yogyakarta-sehari-olah-13-kilogram-beras?page=all","9 Nov 2021"
"madukismo","Gongso Kepala Sapi, Makanan Unik dari Bantul Yogyakarta - Kompas.com","Warung Gongso Jolgo Mas Iyan menjual gongso kepala sapi, yang diakui 
pemiliknya Haryanto daging kepala sapi punya karakter rasa yang enak dan 
beda.","https://www.kompas.com/food/read/2021/11/08/220200575/gongso-kepala-sapi-makanan-unik-dari-bantul-yogyakarta-?page=all","Nov 2021"
"madukismo","Cicip-cicip Gongso Kepala Sapi Semarakkan Khazanah Kuliner Bantul","YOGYAKARTA, KOMPAS.TV- Sajian masakan berbahan sapi biasanya menggunakan 
bagian daging atau jeroan. Namun, kuliner anyar di Bantul ini justru 
memanfaatkan...","https://www.kompas.tv/article/226325/cicip-cicip-gongso-kepala-sapi-semarakkan-khazanah-kuliner-bantul","8 Okt 2021"
"madukismo","Kuliner Unik Olahan Daging Kepala Sapi di Bantul, Gongsonya Nendang Bikin Ketagihan","Berburu kuliner di Yogyakarta tidak ada habisnya. Di Kabupaten Bantul ada 
sebuah warung yang menawarkan menu olahan kepala sapi dengan menu andalan 
gongso.","https://yogya.inews.id/berita/kuliner-unik-olahan-daging-kepala-sapi-di-bantul-gongsonya-nendang-bikin-ketagihan","1 Okt 2021"
"madukismo","Nikmatnya Gongso Kepala Sapi, Kuliner Unik Baru di Bantul","Kabupaten Bantul kaya akan olahan kulinernya, berbagai inovasi muncul dan 
yang terkini adalah gongso kepala sapi yang patut dicoba pecinta kuliner.","https://www.youtube.com/watch?v=_sHRcxUvE4A","1 Okt 2021"
"madukismo","15 Restoran dan Cafe di Bantul Yogyakarta dengan Pemandangan Indah - Kompas.com","Berikut 15 rekomendasi kafe dan restoran dengan pemandangan indah di Bantul 
Yogyakarta. Cocok untuk bersantai saat akhir pekan. Halaman all.","https://www.kompas.com/food/read/2021/10/17/091200775/15-restoran-dan-cafe-di-bantul-yogyakarta-dengan-pemandangan-indah?page=all","7 Okt 2021"
"madukismo","15 Bakmi Jawa Enak di Yogyakarta, Favorit Warga Lokal dan Wisatawan - Kompas.com","Jika kebetulan sedang berada di Yogyakarta, silakan mampir ke 15 tempat 
makan bakmi jawa enak berikut. Halaman all.","https://www.kompas.com/food/read/2021/05/22/220200175/15-bakmi-jawa-enak-di-yogyakarta-favorit-warga-lokal-dan-wisatawan?page=all","2 Mei 2021"
"madukismo","15 Tempat Makan Tongseng yang Enak di Yogyakarta, Ada Tongseng Pak Min - Kompas.com","KOMPAS.com - Tongseng merupakan kuliner khas Jawa Tengah yang bisa kamu 
cicipi di Yogyakarta. Hidangan yang lezat ini wajib dicoba oleh pencinta 
daging.","https://www.kompas.com/food/read/2021/03/25/123300175/15-tempat-makan-tongseng-yang-enak-di-yogyakarta-ada-tongseng-pak-min?page=all","5 Mar 2021"
