"location","title","desc","link","date"
"maguwo","Rekomendasi Kuliner Jogja Berupa 5 Jajanan Enak dan Lagi Viral Bulan Ini","Kuliner Jogja, kamu mau coba yang lembut lembut? cobain bolu bakar lembang 
kuenya lembut, anti berkerut rasanya gurih gurih manis.","https://jogja.tribunnews.com/2022/09/15/rekomendasi-kuliner-jogja-berupa-5jajanan-enak-dan-lagi-viral-bulan-ini","5 Sep 2022"
"maguwo","5 Rekomendasi Kuliner Jogja, Bakso Hidden Gem Enak Wajib Banget Kamu Coba!","Inilah rekomendasi Kuliner Jogja dengan spot makan bakso yang bisa kamu 
coba saat kamu berkunjung ke Jogja, dijamin rasanya memuaskan.","https://jogja.tribunnews.com/2022/08/31/5-rekomendasi-kuliner-jogja-bakso-hidden-gem-enak-wajib-banget-kamu-coba","1 Agu 2022"
"maguwo","Dimeriahkan Band Kotak dan Pesta Kembang Api","Opening Ceremony Pekan Olahraga Daerah (PORDA) XVI dan Pekan Paralimpik 
Daerah (PEPARDA) III DIY 2022 bakal menjadi yang termegah dalam 16 kali...","https://radarjogja.jawapos.com/sleman-bantul/2022/08/30/dimeriahkan-band-kotak-dan-pesta-kembang-api/","30 Agu 2022"
"maguwo","3 Wisata Kuliner Iga Bakar di Jogja, Rasa Mewah Harga Kaki Lima","TRIBUNJOGJA.COM – Menu olahan iga sapi merupakan makanan kesukaan banyak 
orang, terutama jika iga tersebut dibakar. Iga sapi yang dibakar akan 
lebih...","https://jogja.tribunnews.com/2022/08/04/3-wisata-kuliner-iga-bakar-di-jogja-rasa-mewah-harga-kaki-lima","Agu 2022"
"maguwo","Harga Tiket Nonton di Stadion Maguwoharjo Diturunkan, Bima Sakti Berharap Dukungan Penuh untuk Timnas Indonesia U-16","Berdasarkan infomasi dari match commissioner sebelumnya, laga perdana saat 
Indonesia melawan Filipina kemarin hanya dihadiri 1.400an penonton.","https://jogja.suara.com/read/2022/08/03/101020/harga-tiket-nonton-di-stadion-maguwoharjo-diturunkan-bima-sakti-berharap-dukungan-penuh-untuk-timnas-indonesia-u-16","Agu 2022"
"maguwo","Mencicipi Jajanan Street Food di Area Stadion Maguwoharjo hingga Pasar Malam yang Mulai Beroperasional Kembali - Kompasiana.com","Bagi masyarakat Yogyakarta pastinya sudah tidak asing dengan nama stadion 
yang satu ini, stadion yang terletak di Kabupaten Sleman yakni 
""Maguwoharjo...","https://www.kompasiana.com/riefta6461/62aa0d0ff5f32904981242a2/mencicipi-jajanan-street-food-di-area-stadion-maguwoharjo-hingga-pasar-malam-yang-mulai-beroperasional-kembali","5 Jun 2022"
"maguwo","Sensasi Cumi Bakar di Street Food Stadion Maguwoharjo Yogyakarta!","Yups! Lagi-lagi Yogyakarta menjadi destinasi kuliner yang menjadi favorit 
terhadap semua kalangan. Masing-masing kota memang memiliki ciri khasnya...","https://www.kompasiana.com/amelazrr/62a9dd66bb44865900328132/sensasi-cumi-bakar-di-street-food-stadion-maguwoharjo-yogyakarta","5 Jun 2022"
"maguwo","Street Food Jajanan Kaki Lima dan Pasar Malam Tempat Ngabuburit Asyik di Maguwoharjo - Kompasiana.com","Ngabuburit Asyik di Maguwoharjo Sleman Yogyakarta.","https://www.kompasiana.com/sekaangondamayasha/6251976e92cb5a56ba0fb972/street-food-jajanan-kaki-lima-dan-pasar-malam-tempat-ngabuburit-asyik-di-maguwoharjo","Apr 2022"
"maguwo","Serunya Berburu Takjil di Paingan Stadion Maguwoharjo - Kompasiana.com","Pasar yang sangat rekomended untuk anak-anak kos karena harganya yang 
terjangkau dan banyak sekali pilihannya.","https://www.kompasiana.com/aldyarifinn/62515e3992cb5a7ccb6ef2d5/serunya-berburu-takjil-di-paingan-stadion-maguwoharjo","Apr 2022"
"maguwo","5 Pasar Ramadan Paling Digemari dan Hits di Yogyakarta","YOGYA, KRJOGJA.com - Selama pandemi berlangsung, pasar-pasar Ramadan di 
Yogyakarta memang mengalami penurunan jumnlah pengunjung. Namun Ramadan 
1443 Hijriah...","https://www.krjogja.com/wisata/read/241607/5-pasar-ramadan-paling-digemari-dan-hits-di-yogyakarta","Apr 2022"
"maguwo","Ini Cara Dapatkan Potongan Harga di Kampung Maguwo Hotel Innside by Melia Yogyakarta!","Bagi yang ingin mendapatkan promo potongan harga di Kampung Maguwo Innside 
Yogyakarta, jangan lupa untuk menunjukan.","https://www.piknikdong.com/potongan-harga-di-kampung-maguwo-hotel-innside-by-melia-yogyakarta.html","8 Mar 2022"
"maguwo","15 Rekomendasi Tempat Makan Keluarga yang Enak di Yogyakarta, Bernuansa Alam - Tradisional - Kapanlagi.com","Apa saja ya rekomendasi tempat makan keluarga tersebut? Berikut ini 
rekomendasi tempat makan keluarga di Jogja dengan makanan enak hingga 
nuansa alam dan...","https://plus.kapanlagi.com/15-rekomendasi-tempat-makan-keluarga-di-jogja-dengan-makanan-enak-nuansa-alam-dan-tradisional-28096d.html","1 Mar 2022"
