"location","title","desc","link","date"
"mm ugm","6 Kafe di Dekat Kampus UGM Yogyakarta, Nyaman Buat Nugas","Tidak jauh dari kampus UGM juga sudah banyak kafe yang selalu jadi favorit 
mahasiswa Jogja. Apa saja?","https://jogja.idntimes.com/food/dining-guide/senja-sandera/kafe-dekat-kampus-ugm-yogyakarta-c1c2","6 Mei 2022"
"mm ugm","15 Tempat Makan Sekitar UGM yang Enak dan Harganya Ramah Dikantong","15 tempat makan sekitar UGM menjadi favorit pelancong Karena selain enak 
juga harganya ramah di - Food - Okezone Lifestyle.","https://lifestyle.okezone.com/read/2022/01/11/298/2530436/15-tempat-makan-sekitar-ugm-yang-enak-dan-harganya-ramah-dikantong","1 Jan 2022"
"mm ugm","15 Tempat Makan Sekitar UGM, Harga Mulai Rp 2.000 - Kompas.com","KOMPAS.com - Universitas Gadjah Mada atau UGM berlokasi di Sleman, 
Yogyakarta. Di sekitar kampus ini ada beberapa tempat makan enak yang 
harganya terjangkau...","https://www.kompas.com/food/read/2022/01/08/130600075/15-tempat-makan-sekitar-ugm-harga-mulai-rp-2000?page=all","Jan 2022"
"mm ugm","15 Gudeg Enak di Yogyakarta, Langganan Wisatawan dan Warga Lokal - Kompas.com","Berikut rekomendasi tempat makan gudeg enak di Yogyakarta yang patut 
dicoba. Ada yang buka pagi dan malam hari. Halaman all.","https://www.kompas.com/food/read/2021/11/02/200400575/15-gudeg-enak-di-yogyakarta-langganan-wisatawan-dan-warga-lokal-?page=all","Nov 2021"
"mm ugm","Sapi Songo, Uniknya Sei Sapi Dipadu dengan Nutrisari","Kuliner di Yogyakarta tak hanya beraneka ragam, namun juga unik dan 
menarik. Untuk kalian pecinta sei sapi, cobalah merapat ke Sapi Songo.","https://yoursay.suara.com/ulasan/2021/07/16/131458/sapi-songo-uniknya-sei-sapi-dipadu-dengan-nutrisari","6 Jul 2021"
"mm ugm","Rekomendasi Tempat Makan Enak Dekat UGM","Sebagai kampus terbaik di Indonesia, kawasan sekitar UGM pastilah dipenuhi 
oleh mahasiswa. Banyaknya mahasiswa ini kemudian memunculkan aneka kuliner 
yang...","https://www.idntimes.com/food/dining-guide/dyar-ayu/rekomendasi-tempat-makan-enak-dekat-ugm-c1c2","Feb 2021"
"mm ugm","3 Makanan Favorit Mahasiswa di Kantin Kampus UGM yang Bikin Kangen - Kompas.com","KOMPAS.com – Setiap universitas umumnya memiliki kantin yang menyediakan 
makanan untuk mahasiswa. Selama bertahun-tahun masiswa tersebut akrab 
dengan...","https://www.kompas.com/food/read/2020/10/16/210800475/3-makanan-favorit-mahasiswa-di-kantin-kampus-ugm-yang-bikin-kangen","6 Okt 2020"
"mm ugm","10 Kuliner Enak yang Selalu Ramai di Sekitar Kampus UGM dan UNY","Rekomendasi 10 kuliner enak yang selalu ramai dikunjung di sekitar kampus 
Universitas Gadjah Mada (UGM) dan Universitas Negeri Yogyakarta.","https://www.tribunnews.com/travel/2019/07/25/10-kuliner-enak-yang-selalu-ramai-di-sekitar-kampus-ugm-dan-uny","5 Jul 2019"
"mm ugm","7 Cafe Dekat Kampus UGM Yogyakarta, Harga Cocok untuk Kantong Mahasiswa","Yogyakarta dikenal sebagai kota pelajar. Banyaknya mahasiswa dari berbagai 
daerah juga menambah berkembangnya tempat makan, contohnya kafe.","https://jogja.tribunnews.com/2019/07/24/7-cafe-dekat-kampus-ugm-yogyakarta-harga-cocok-untuk-kantong-mahasiswa","4 Jul 2019"
"mm ugm","9 Kuliner Makan Favorit di Dekat Kampus UNY dan UGM Yogyakarta","Beberapa tempat makan kampus UNY dan UGM ini juga sangat lezat dan tak 
kalah dengan kuliner Jogja lainnya.","https://www.tribunnews.com/travel/2019/07/20/9-kuliner-makan-favorit-di-dekat-kampus-uny-dan-ugm-yogyakarta","20 Jul 2019"
"mm ugm","6 Kuliner Menggoda di Sekitar UGM yang Tidak Akan Bikin Kantong Anda Bolong","Liputan6.com, Jakarta - Ragam kuliner menggugah selera terus memenuhi 
seantero Yogyakarta. Mulai dari tengah kota, sampai ke utara sedikit di 
sekitar...","https://www.liputan6.com/lifestyle/read/3687355/6-kuliner-menggoda-di-sekitar-ugm-yang-tidak-akan-bikin-kantong-anda-bolong","Nov 2018"
"mm ugm","Juragan katering makan siang karyawan","Cerita Andy Fajar Handika malang melintang di bisnis kuliner 
termasukmendirikan dan membesarkan Kulina.","https://peluangusaha.kontan.co.id/news/juragan-katering-makan-siang-karyawan","7 Agu 2018"
