"location","title","desc","link","date"
"ngasem","Olahan Unik Mi Instan yang Cocok Buat Kamu, Yuk Coba! - Berita Baik","BERITABAIK.ID - TemanBaik, mi instan adalah makanan yang cukup dekat dengan 
kita. Selain harganya terjangkau, olahannya juga bisa kamu kreasikan...","https://www.beritabaik.id/melancong/pr-3785463453/olahan-unik-mi-instan-yang-cocok-buat-kamu-yuk-coba","minggu lalu"
"ngasem","Serunya Menyantap Makanan Bersama Para ‘Hantu’ di Karnivor Bandung - Berita Baik","BERITABAIK.ID - Menyambut Halloween, ada sesi seru dan menyeramkan nih di 
Karnivor Bandung. Nama sesinya Ruang Lain. Seperti apa sih keseruannya?","https://www.beritabaik.id/melancong/pr-3785389596/serunya-menyantap-makanan-bersama-para-hantu-di-karnivor-bandung","minggu lalu"
"ngasem","3 Jajanan Khas di Pasar Tradisional Jogja, Ada Jenang Gempol!","Koran Jogja – Ada beberapa jenis jajanan lezat di pasar tradisional Jogja 
yang menarik untuk dicoba saat liburan. Makanan tradisional ini hanya 
ditemukan di...","https://koran-jogja.com/3-jajanan-khas-di-pasar-tradisional-jogja-ada-jenang-gempol/","bulan lalu"
"ngasem","4 Makanan Khas Indonesia yang Mendunia, Jadi Favorit Wisatawan! - Berita Baik","Indonesia memiliki beragam makanan yang berasal dari berbagai daerah dengan 
cita rasa khas dan tentu menggugah selera.","https://www.beritabaik.id/melancong/pr-3785282722/4-makanan-khas-indonesia-yang-mendunia-jadi-favorit-wisatawan","bulan lalu"
"ngasem","3 Resep Pilihan Akhir Pekan di Musim Hujan, Biar Liburan Makin Berkesan - Berita Baik","Meluangkan waktu berkualitas bersama keluarga di akhir pekan ternyata 
sangat bermanfaat untuk kesehatan.","https://www.beritabaik.id/melancong/pr-3785282858/3-resep-pilihan-akhir-pekan-di-musim-hujan-biar-liburan-makin-berkesan","bulan lalu"
"ngasem","Asian African Fusion Festival, Unjuk Gigi Mutu Kuliner di Kota Bandung - Berita Baik","Tak hanya enak, kuliner di Kota Bandung harus sehat. Atas hal itu, 
Disbudpar Kota Bandung menggelar Bandung Culinary Festival.","https://www.beritabaik.id/melancong/pr-3785238872/asian-african-fusion-festival-unjuk-gigi-mutu-kuliner-di-kota-bandung","bulan lalu"
"ngasem","Menjajal Manis Gurihnya Apem Bu Wanti di Pasar Ngasem Yogyakarta - Berita Baik","BERITABAIK.ID - Di Pasar Ngasem Yogyakarta, ada satu kuliner tradisional 
khas yang mesti kamu coba. Ya, namanya Apem Beras Bu Wanti.","https://www.beritabaik.id/melancong/pr-3785209421/menjajal-manis-gurihnya-apem-bu-wanti-di-pasar-ngasem-yogyakarta","bulan lalu"
"ngasem","Rasa yang Nagih, Camilan Tradisional Apem Bu Wanti di Pasar Ngasem Jogja","Koran Jogja, Yogyakarta – Camilan apem, salah satu makanan tradisional 
dengan rasa manis dan gurih yang mudah ditemui di sejumlah pasar 
tradisional yang ada...","https://koran-jogja.com/rasa-yang-nagih-camilan-tradisional-apem-bu-wanti-di-pasar-ngasem-jogja/","bulan lalu"
"ngasem","Ada Kuliner Spesial di Pasar Ngasem, Sayur Bobor Bu Ngademi","KOMPASTV - Piye kabare foodlovers, Sabtu ini Benoe akan mengajak foodlovers 
untuk mencicipi sajian unik nan enak yang bakal menggoyangkan lidah 
foodlovers.","https://www.youtube.com/watch?v=yegD7yWKIcQ","bulan lalu"
"ngasem","Ada Kuliner Spesial di Pasar Ngasem, Sayur Bobor Bu Ngademi","KOMPASTV - Piye kabare foodlovers, Sabtu ini Benoe akan mengajak foodlovers 
untuk mencicipi sajian unik nan enak yang bakal menggoyangkan lidah 
foodlovers.","https://www.kompas.tv/article/334760/ada-kuliner-spesial-di-pasar-ngasem-sayur-bobor-bu-ngademi","bulan lalu"
"ngasem","Jenang Gempol dan Dawet Camcau, Kuliner Nikmat Turun Temurun dari Yogyakarta - Berita Baik","Jenang Gempol dan Es Dawet Camcau, kuliner tradisional Yogyakarta yang bisa 
kamu jumpai di Pasar Pathuk Yogyakarta.","https://www.beritabaik.id/melancong/pr-3784789960/jenang-gempol-dan-dawet-camcau-kuliner-nikmat-turun-temurun-dari-yogyakarta","8 Sep 2022"
"ngasem","Wedang Tahu Bu Kardi, Kuliner Tradisional Yogya yang Wajib Kamu Coba - Berita Baik","Wedang Tahu Bu Kardi, referensi kuliner tradisional Yogyakarta yang wajib 
kamu coba. Wedang Tahu Bu Kardi buka pagi dan sore hari.","https://www.beritabaik.id/melancong/pr-3784754811/wedang-tahu-bu-kardi-kuliner-tradisional-yogya-yang-wajib-kamu-coba","5 Sep 2022"
"ngasem","Wedang Sendang Ayu, Minuman Cantik dari Yogyakarta","Dream - Wedang merupakan bahasa Jawa yang artinya minuman hangat racikan. 
Biasanya terbuat dari teh atau campuran rempah-rempah yang dibuat dengan 
cara...","https://www.dream.co.id/culinary/wedang-sendang-ayu-minuman-cantik-dari-yogyakarta-220912c.html","3 Sep 2022"
"ngasem","Festival Kampung Wisata Jadi Momentum Bangkitnya Wisata Yogyakarta","REPUBLIKA.CO.ID, YOGYAKARTA – Dinas Pariwisata (Dispar) kota Yogyakarta 
gelar Festival Kampung Wisata di Pasar Ngasem, Jalan Polowijan, Keraton,...","https://repjogja.republika.co.id/berita/rdpsy4399/festival-kampung-wisata-jadi-momentum-bangkitnya-wisata-yogyakarta","9 Jun 2022"
"ngasem","Plaza Ngasem, Sudut Kuliner Tradisional di Kota Jogja","Sebagai kota wisata, Yogyakarta memiliki beragam sajian kuliner khas yang 
tersebar di berbagai sudut kota. Salah satunya, di Plaza Ngasem.","https://www.cendananews.com/2022/05/plaza-ngasem-sudut-kuliner-tradisional-di-kota-jogja.html","Mei 2022"
"ngasem","10 Angkringan di Yogyakarta Paling Enak dan Legendaris","Angkringan di Yogyakarta menjadi destinasi wisata kuliner favorit pelancong 
kala bertandang Bukan tanpa - Food - Okezone Lifestyle.","https://lifestyle.okezone.com/read/2022/01/25/298/2537431/10-angkringan-di-yogyakarta-paling-enak-dan-legendaris","5 Jan 2022"
