"location","title","desc","link","date"
"pogung","7 Tempat Makan Siang Enak dan Harganya Murah Meriah di Jogja, Ada Sajian Sate Maranggi","Jogja menawarkan beragam kuliner makan siang yang enak dan murah. Buat 
traveler bisa datang langsung dan membuktikan sendiri kelezatan cita rasa 
makan siang...","https://kaltim.tribunnews.com/2022/11/22/7-tempat-makan-siang-enak-dan-harganya-murah-meriah-di-jogja-ada-sajian-sate-maranggi","4 hari lalu"
"pogung","Selain Gudeg, Ini 5 Rekomendasi Kuliner Jogja Terbaru dan Cocok untuk Anak Muda! - Kompasiana.com","Kuliner Jogja tidak melulu tentang gudeg, lho! Ini 5 rekomendasi kuliner 
Jogja yang terbaru dan sedang hits di kalangan anak muda! Ada apa saja?","https://www.kompasiana.com/tyasdwiar/635a29084addee73d235d952/selain-gudeg-ini-5-rekomendasi-kuliner-jogja-terbaru-dan-cocok-untuk-anak-muda","bulan lalu"
"pogung","10 Rekomendasi Coffee Shop Jogja yang Cozy Buat Nugas Kuliah atau Kerjaan Kantor","coffee shop biasanya menjadi incaran di kalangan anak muda, untuk sekedar 
nongkrong atau bahkan mengerjakan tugas. Terlebih coffee shop yang Nyaman.","https://jogja.tribunnews.com/2022/10/10/10-rekomendasi-coffee-shop-jogja-yang-cozy-buat-nugas-kuliah-atau-kerjaan-kantor","bulan lalu"
"pogung","KULINER JOGJA: 5 Rekomendasi Tempat Makan dengan Harga Terjangkau","Nah, bagi kamu yang ingin mencicipi Kuliner Jogja dengan harga terjangkau, 
berikut kami rekomendasikan 5 tempat makan yang bisa kamu kunjungi:","https://jogja.tribunnews.com/2022/09/21/kuliner-jogja-5-rekomendasi-tempat-makan-dengan-harga-terjangkau","1 Sep 2022"
"pogung","Rekomendasi Kuliner Jogja Sekitar Kampus UGM Lengkap Mulai Sarapan Sampai Makan Malam","Kamu dapat menjajal sederet Kuliner Jogja di sekitaran kampus Universitas 
Gajah Mada atau UGM yang lengkap mulai dari Sarapan sampai makan malam:","https://jogja.tribunnews.com/2022/09/12/rekomendasi-kuliner-jogja-sekitar-kampus-ugm-lengkap-mulai-sarapan-sampai-makan-malam","2 Sep 2022"
"pogung","Ulasan Lengkap Kawasan Yogyakarta","Beragam keunggulan Makassar sebagai tempat tinggal dan tujuan investasi. 
Cek ulasan lengkapnya di sini! Tentang Kota Yogyakarta. Yogyakarta 
merupakan ibu...","https://www.rumah123.com/explore/kota-yogyakarta/","9 Agu 2022"
"pogung","Rekomendasi 5 Kuliner Warmindo atau Burjo di Jogja dengan Harga Terjangkau Favorit Mahasiswa","Tribunjogja.com - Kuliner Jogja Warmindo atau burjo menjadi warung favorit 
bagi para mahasiswa di Yogyakarta. Selain harganya yang terjangkau, pilihan 
menu...","https://jogja.tribunnews.com/2022/08/16/rekomendasi-5-kuliner-warmindo-atau-burjo-di-jogja-dengan-harga-terjangkau-favorit-mahasiswa","6 Agu 2022"
"pogung","7 Rekomendasi Mi Ayam Super Enak di Jogja, Mie Ayam Bangka Pak Harun Minya Berukuran Kecil","TRIBUNKALTIM.CO - 7 rekomendasi mi ayam super enak di Jogja, Mie Ayam 
Bangka Pak Harun minya berukuran kecil. Terkenal dengan cita rasanya yang 
lezat,...","https://kaltim.tribunnews.com/2022/08/12/7-rekomendasi-mi-ayam-super-enak-di-jogja-mie-ayam-bangka-pak-harun-minya-berukuran-kecil","2 Agu 2022"
"pogung","5 Coworking Space di Yogyakarta yang Cocok untuk 'Work From Cafe'","Liputan6.com, Yogyakarta - Saat ini, banyak coworking space yang memang 
disediakan untuk kamu yang ingin mencari suasana tenang untuk bekerja,...","https://www.liputan6.com/regional/read/5026589/5-coworking-space-di-yogyakarta-yang-cocok-untuk-work-from-cafe","9 Jul 2022"
"pogung","Menjajal Spicy Chicken Ala Jatinangor House di Yogyakarta","Sleman, IDN Times – Yogyakarta punya banyak tempat makan enak dan murah. 
Mulai dari soto ayam seharga Rp5 ribuan, nasi kucing yang hanya Rp2 ribu,...","https://jogja.idntimes.com/food/dining-guide/dyar-ayu-1/menjajal-spicy-chicken-ala-jatinangor-house","4 Jun 2022"
"pogung","Asal Usul Burjo: Menjamur di Solo & Jogja, Ternyata Dari Sini Asalnya","Pernahkah Anda penasaran asal usul warung burjo? Apakah betul asal usul 
warung burjo ini dari Yogyakarta?","https://www.solopos.com/asal-usul-burjo-menjamur-di-solo-jogja-ternyata-dari-sini-asalnya-1315296","2 Mei 2022"
"pogung","5 Rekomendasi Tempat Makan Ayam Paling Enak di Yogyakarta","Bisa dibilang, ayam merupakan salah satu comfort food bagi orang Indonesia. 
Selain mudah diolah dan didapatkan, saat kita berada di tempat baru,...","https://www.idntimes.com/food/dining-guide/annisa-nur-fitriani-1/rekomendasi-tempat-makan-ayam-yogyakarta-c1c2","Apr 2022"
"pogung","12 Masjid di Jogja yang Sediakan Takjil Gratis, Anak Kos Merapat!","Bisnis.com, YOGYAKARTA - Ada banyak masjid di Daerah Istimewa Yogyakarta 
yang menyediakan makanan buka puasa atau takjil gratis selama bulan Ramadan.","https://traveling.bisnis.com/read/20220404/223/1518885/12-masjid-di-jogja-yang-sediakan-takjil-gratis-anak-kos-merapat","Apr 2022"
"pogung","15 Nasi Goreng Enak di Yogyakarta, Cocok untuk Makan Malam - Kompas.com","Coba 15 tempat makan nasi goreng enak di Yogyakarta berikut. Menu yang 
disajikan macam-macam, mulai dari nasi goreng jawa hingga kambing. Halaman 
all.","https://www.kompas.com/food/read/2022/02/20/220300275/15-nasi-goreng-enak-di-yogyakarta-cocok-untuk-makan-malam?page=all","20 Feb 2022"
"pogung","Angkringan Legend di Pogung Lor Yogyakarta - Kompasiana.com","Angkringan merupakan tempat makan di pinggiran jalan dengan gerobak yang 
berisi aneka makanan. Angkringan di Yogyakarta banyak di temui di banyak 
sudut...","https://www.kompasiana.com/nurpujirahayu0172/61f789268700007cdb347293/angkringan-legend-di-pogung-lor-yogyakarta","1 Jan 2022"
"pogung","15 Tempat Makan Sekitar UGM, Harga Mulai Rp 2.000 - Kompas.com","KOMPAS.com - Universitas Gadjah Mada atau UGM berlokasi di Sleman, 
Yogyakarta. Di sekitar kampus ini ada beberapa tempat makan enak yang 
harganya terjangkau...","https://www.kompas.com/food/read/2022/01/08/130600075/15-tempat-makan-sekitar-ugm-harga-mulai-rp-2000?page=all","Jan 2022"
"pogung","Sego Pecel Bu Wiryo Sejak 1959, Kuliner Legendaris Jogja","KOMPASTV - Jogja selalu membawa kenangan, begitu juga dengan kulinernya. 
Benoe akan mampir ke SGPC Bu Wiryo yang sudah melayani sejak tahun 1959.","https://www.youtube.com/watch?v=EDv0RrfO8Hg","9 Des 2021"
"pogung","8 Soto di Jogja yang Enak untuk Sarapan, Gurihnya Soto Pak Marto dengan Kuah Khas","Di Indonesia sendiri ada banyak yang menjual berbagai soto yang menggugah 
selera, termasu Kota Jogja. Selain terkenal dengan kuliner gudeg, Jogja 
juga...","https://travel.tribunnews.com/2021/12/07/8-soto-di-jogja-yang-enak-untuk-sarapan-gurihnya-soto-pak-marto-dengan-kuah-khas","Des 2021"
