"location","title","desc","link","date"
"seturan","Nikmatnya Bakso Rosso Buat Kamu Ketagihan","Krjogja.com - BAKSO adalah kuliner Indonesia yang disukai oleh berbagai 
kalangan dan usia. Panganan khas Indonesia ini pun sangat mudah ditemui,...","https://www.krjogja.com/wisata/read/477961/nikmatnya-bakso-rosso-buat-kamu-ketagihan","bulan lalu"
"seturan","7 Nasi Goreng Enak di Jogja Buat Makan Malam, dari Nasi Goreng Padmanaba sampai Nasgor 212 Seturan","Dengan sajiannya yang menggugah selera, nasi goreng enak di Jogja selalu 
diburu untuk menu makan malam.","https://travel.tribunnews.com/2022/10/19/7-nasi-goreng-enak-di-jogja-buat-makan-malam-dari-nasi-goreng-padmanaba-sampai-nasgor-212-seturan","bulan lalu"
"seturan","Rekomendasi Kuliner Jogja Menu Serba Mie : Mie Ayam, Yamie, Bakmie","TRIBUNJOGJA.COM - Kuliner Jogja, Jika anda pecinta olahan mie, di Jogja 
terdapat spot makan mie yang bisa anda cobain. Kuliner Jogja ini langganan 
banyak...","https://jogja.tribunnews.com/2022/10/10/rekomendasi-kuliner-jogja-menu-serba-mie-mie-ayam-yamie-bakmie","bulan lalu"
"seturan","Rekomendasi 3 Kuliner Ayam Bakar Enak di Jogja, Cocok untuk Menu Makan Malam","Tribun Jogja merangkum rekomendasi tiga kuliner ayam bakar enak di Jogja, 
cocok untuk menu makan malam:","https://jogja.tribunnews.com/2022/09/06/rekomendasi-3-kuliner-ayam-bakar-enak-di-jogja-cocok-untuk-menu-makan-malam","Sep 2022"
"seturan","Rekomendasi Kuliner Bubur Enak di Jogja yang Cocok untuk Sarapan, Ada yang Buka Sampai Malam","Untuk kamu yang sedang berlibr ke Jogja dan bingung pilih makan bubur 
dimana, Inilah beberapa Kuliner Jogja rekomendasi tempat makan.","https://jogja.tribunnews.com/2022/09/03/rekomendasi-kuliner-bubur-enak-di-jogja-yang-cocok-untuk-sarapan-ada-yang-buka-sampai-malam","Sep 2022"
"seturan","Kuliner Jogja: Nikmati Sajian Kudapan Manis di Yogyakarta, Cocok Jadi Teman Nongkrong","Bagi yang ingin nongkrong santai sambil menikmati sajian kudapan manis, 
simak 4 rekomendasi tempat untuk menikmati yang manis-manis di Jogja!","https://jogja.tribunnews.com/2022/08/10/kuliner-jogja-nikmati-sajian-kudapan-manis-di-yogyakarta-cocok-jadi-teman-nongkrong","10 Agu 2022"
"seturan","Kuliner Jogja: Rekomendasi Dimsum Enak di Jogja","TRIBUNJOGJA.COM - Kuliner Jogja tidak ada habisnya, mulai dari makanan 
ringan, jajanan, hingga makanan berat semua rasa masakannya khas.","https://jogja.tribunnews.com/2022/08/09/kuliner-jogja-rekomendasi-dimsum-enak-di-jogja","Agu 2022"
"seturan","5 Tempat Makan di Jogja yang Baru dan Terkenal Murah","Jogja terkenal dengan kuliner yang lezat, mulai dari yang tradisional 
hingga yang kekinian. Beberapa juga tak hanya menawarkan olahan yang 
lezat,...","https://jogja.idntimes.com/food/dining-guide/senja-sandera/tempat-makan-di-jogja-yang-baru-dan-terkenal-murah-c1c2","1 Mei 2022"
"seturan","3 Tempat Makan Dimsum di Jogja yang Terkenal Enak, Dimsum Taiger Sprung Teksturnya Kenyal dan Lembut","TRIBUNTRAVEL.COM - Ingin camilan yang beragam dan enak di Jogja? Kamu bisa 
mencoba sajian dimsum. Jogja memiliki sejumlah tempat makan dimsum enak.","https://travel.tribunnews.com/2022/02/22/3-tempat-makan-dimsum-di-jogja-yang-terkenal-enak-dimsum-taiger-sprung-teksturnya-kenyal-dan-lembut","2 Feb 2022"
"seturan","15 Nasi Goreng Enak di Yogyakarta, Cocok untuk Makan Malam - Kompas.com","Coba 15 tempat makan nasi goreng enak di Yogyakarta berikut. Menu yang 
disajikan macam-macam, mulai dari nasi goreng jawa hingga kambing. Halaman 
all.","https://www.kompas.com/food/read/2022/02/20/220300275/15-nasi-goreng-enak-di-yogyakarta-cocok-untuk-makan-malam?page=all","20 Feb 2022"
